,title,description,exploitability,risk_level,cve_id,platform,consequences,privilege,access_vector,access_complexity,confidentiality_impact,integrity_impact,availability_impact
0,JetBrains Kotlin information disclosure,"JetBrains Kotlin could allow a local authenticated attacker to obtain sensitive information, caused by an insecure permission flaw when creating temporary file and folder by the Java API. By gaining access to the temporary directory, an attacker could exploit this vulnerability to obtain sensitive information, and use this information to launch further attacks against the affected system.",Unproven,5.5,CVE-2020-29582,JetBrains Kotlin 1.4,Obtain Information,Low,Local,Low,High,None,None
1,HashiCorp Nomad and Nomad Enterprise information disclosure,"HashiCorp Nomad and Nomad Enterprise could allow a remote attacker to obtain sensitive information, caused by improper isolation mechanisms within Nomads exec and java task drivers. By sending a specially-crafted request, a remote attacker could exploit this vulnerability to obtain sensitive information.",Unproven,5.3,CVE-2021-3283,HashiCorp Nomad 0.12.9,Obtain Information,None,Network,Low,Low,None,None
2,IBM QRadar SIEM code execution,"IBM QRadar SIEM 7.4.0 to 7.4.2 Patch 1 and 7.3.0 to 7.3.3 Patch 7 could allow a remote attacker to execute arbitrary commands on the system, caused by insecure deserialization of user-supplied content by the Java deserialization function. By sending a malicious serialized Java object, an attacker could exploit this vulnerability to execute arbitrary commands on the system.  IBM X-Force ID:  190912.",Unproven,6.3,CVE-2020-4888 ,IBM QRadar SIEM 7.3,Gain Access,Low,Network,Low,Low,Low,Low
3,Apache ServiceComb code execution,"Apache ServiceComb could allow a remote authenticated attacker to execute arbitrary code on the system, caused by an unsafe deserialization when handler-router component is enabled in servicecomb-java-chassis. By sending specially-crafted input, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,8.8,CVE-2020-17532,Apache ServiceComb 2.0.0,Gain Access,Low,Network,Low,High,High,High
4,Oracle Database Server Java VM unspecified,"An unspecified vulnerability in Oracle Database Server related to the Java VM component could allow an authenticated attacker to cause no confidentiality impact, high integrity impact, and no availability impact.",Unproven,4.8,CVE-2021-1993,Oracle Database Server 12.1.0.2,Other,Low,Network,High,None,High,None
5,Aruba AirWave Glass command execution,"Aruba AirWave Glass could allow a remote attacker to execute arbitrary commands on the system, caused by unsafe Java deserialization. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary commands on the system.",Unproven,9.8,CVE-2020-24639,Aruba AirWave Glass 1.3.2,Gain Access,None,Network,Low,High,High,High
6,Aruba AirWave Glass command execution,"Aruba AirWave Glass could allow a remote attacker to execute arbitrary commands on the system, caused by unsafe Java deserialization. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary commands on the system.",Unproven,7.2,CVE-2020-24638,Aruba AirWave Glass 1.3.2,Gain Access,High,Network,Low,High,High,High
7,Apache HTML/Java API privilege escalation,"Apache HTML/Java API could allow a local authenticated attacker to gain elevated privileges on the system, caused by a race condition between the deletion of the temporary file and the creation of the temporary directory in ""webkit"" subproject. By sending a specially-crafted request, an authenticated attacker could exploit this vulnerability to gain elevated privileges.",Unproven,7.8,CVE-2020-17534,Apache HTML/Java API 1.7,Gain Privileges,Low,Local,Low,High,High,High
8,Kubernetes Java Client directory traversal,"Kubernetes Java Client could allow a remote attacker to traverse directories on the system, caused by improper validation of tarball files copied from a pod. An attacker could use a specially-crafted tarball file containing ""dot dot"" sequences (/../) to overwrite arbitrary files on the system.",Unproven,7.5,CVE-2020-8570,Kubernetes Java Client 9.0.1,Obtain Information,None,Network,Low,None,High,None
9,H2 Database JNI code execution,"H2 Database could allow a local attacker to execute arbitrary code on the system, caused by improper input validation by the Java Native Interface (JNI). By compiling and running Java code, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Proof of Concept,8.4,,H2 Database 1.4.199,Gain Access,None,Local,Low,High,High,High
